Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Country,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Number of orders to provide information denied,Number of orders to provide information granted/complied with,Median time to inform the authority of the receipt of the order to provide information in hours,Median time to give effect to the order to provide information in hours,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,EE,EE,0,0,0,0,35,0,35,2.47,0.09,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,ES,0,0,0,0,575,37,538,2.17,0.2,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,ES,ES,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,ES,ES,0,0,0,0,575,37,538,2.17,0.2,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,FI,0,0,0,0,22,5,17,3.3,0.56,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,FI,FI,0,0,0,0,0,0,0,0,0,,,,,,
