Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_OTHER,"Covers content that violates Zalando's policies on ""3.1.7 offensive and/or illegal content"" (Ratings and Reviews Terms of Use) or the Partner Program Platform Rules (4.5), Partner Agreement (3.5), or Platform Access & Integration Agreement (6.2), not captured by other sub-categories.",9,0,8,,215.70,,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,9,0,9,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_MISINFORMATION_DISINFORMATION,,8,0,8,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_VIOLATION_EU_LAW,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_OTHER,"Covers content that violates Zalando's policies on ""3.1. Election-Related Content"" (Community Guidelines), not captured by any other sub-category.",1,0,1,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,2,0,2,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,,,,,0,0,0,0,,,,,,,,,,
