Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,28932,0,25423,0,8,0,0,0,3390,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_PHISHING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,170,0,157,0,7,0,0,0,56,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_SELF_MUTILATION,,166,0,153,0,7,0,0,0,52,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_SUICIDE,,4,0,4,0,7.5,0,0,0,4,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,10961,3,9025,3,16,0,445,0,27,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,3108,0,2465,0,16.5,0,436,0,18,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,7853,3,6727,3,13,0,9,0,9,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,1582,0,1575,0,6,0,0,0,98,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_COORDINATED_HARM,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,1466,0,1461,0,6,0,0,0,98,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,116,0,114,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,17949,0,16232,0,7,0,0,0,2273,0,,,,,,,,,,
