Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other"" linked to our Community Guidelines",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexual_Harassment,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Identity-Based_Hate,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Terrorism_and_Violent_Extremism,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Inauthentic_Profiles,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Scams_Fraud_and_Theft,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,Ireland,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Physical_and_Sexual_Violence,Ireland,,,,,1,,1900-01-01 01:43:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Controlled_Goods_and_Substances,Ireland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,TOTAL,,Italy,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,Italy,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexual_Harassment,Italy,,,,,1,,07:09:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Identity-Based_Hate,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Terrorism_and_Violent_Extremism,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Inauthentic_Profiles,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Scams_Fraud_and_Theft,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Physical_and_Sexual_Violence,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Controlled_Goods_and_Substances,Italy,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,TOTAL,,Netherlands,,,,,2,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexual_Harassment,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Identity-Based_Hate,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Terrorism_and_Violent_Extremism,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,Netherlands,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Inauthentic_Profiles,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Scams_Fraud_and_Theft,Netherlands,,,,,1,,00:41:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,Netherlands,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Physical_and_Sexual_Violence,Netherlands,,,,,1,,01:02:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Controlled_Goods_and_Substances,Netherlands,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,TOTAL,,Poland,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,Poland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,Poland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexual_Harassment,Poland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,Poland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Identity-Based_Hate,Poland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,Poland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,Poland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,Poland,,,,,1,,,,,,,,,
