Zakres zastosowania,Usługa,Okres sprawozdawczy,Kategoria niezgodności z warunkami korzystania z usług dostawcy,Opis podkategorii „Inne”,Liczba środków przyjętych z własnej inicjatywy dostawcy,Liczba środków przyjętych po wykryciu treści przy użyciu wyłącznie zautomatyzowanych środków,Ograniczenie widoczności – usunięcie,Ograniczenie widoczności – uniemożliwienie dostępu,Ograniczenie widoczności – depozycjonowanie,Ograniczenie widoczności – objęcie ograniczeniem ze względu na wiek,Ograniczenie widoczności – ograniczenie możliwości interakcji,Ograniczenie widoczności – oznaczenie,Ograniczenie widoczności – inne,Ograniczenie pieniężne – zawieszenie,Ograniczenie pieniężne – zakończenie,Ograniczenie pieniężne – inne,Świadczenie usługi – zawieszenie,Świadczenie usługi – zakończenie,Ograniczenie konta – zawieszenie,Ograniczenie konta – zamknięcie,Informacje kontekstowe na temat liczby środków przyjętych z własnej inicjatywy dostawcy,Informacje kontekstowe na temat liczby środków przyjętych po wykryciu treści przy użyciu wyłącznie zautomatyzowanych środków,Informacje kontekstowe na temat ograniczenia widoczności poprzez usunięcie,Informacje kontekstowe na temat ograniczenia widoczności poprzez uniemożliwienie dostępu,Informacje kontekstowe na temat ograniczenia widoczności poprzez depozycjonowanie,Informacje kontekstowe na temat ograniczenia widoczności poprzez objęcie ograniczeniem ze względu na wiek,Informacje kontekstowe na temat ograniczenia widoczności poprzez ograniczenie możliwości interakcji,Informacje kontekstowe na temat ograniczenia widoczności poprzez oznaczenie,Informacje kontekstowe na temat ograniczenia widoczności poprzez zastosowanie innych środków,Informacje kontekstowe na temat ograniczenia pieniężnego poprzez zawieszenie,Informacje kontekstowe na temat ograniczenia pieniężnego poprzez zakończenie,Informacje kontekstowe na temat ograniczenia pieniężnego poprzez zastosowanie innych środków,Informacje kontekstowe na temat ograniczenia świadczenia usługi poprzez zawieszenie,Informacje kontekstowe na temat ograniczenia świadczenia usługi poprzez zakończenie,Informacje kontekstowe na temat ograniczenia konta poprzez zawieszenie,Informacje kontekstowe na temat ograniczenia konta poprzez zamknięcie
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-81,KEYWORD_VIOLATION_EU_LAW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-82,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-83,KEYWORD_OTHER,Tekst w celu uszczegółowienia słowa kluczowego „Inne”.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-84,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-85,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-86,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-87,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-88,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-89,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-90,KEYWORD_OTHER,Tekst w celu uszczegółowienia słowa kluczowego „Inne”.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-91,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-92,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-93,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-94,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-95,KEYWORD_TERRORIST_CONTENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-96,KEYWORD_OTHER,Tekst w celu uszczegółowienia słowa kluczowego „Inne”.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-97,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-98,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
