Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,sk,0.93,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,sk,0.53,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,sl,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,sl,0.93,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,sl,0.52,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,sv,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,sv,0.91,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,0.48,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_CYBER_VIOLENCE,1.00,"We use automated systems in combination to address different types of harm, represented here by category."
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_CYBER_VIOLENCE,0.96,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_CYBER_VIOLENCE,0.09,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,1.00,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,0.89,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,0.05,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,1.00,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,0.99,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,0.21,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,1.00,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,0.98,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,0.20,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,1.00,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,0.99,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,0.27,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,1.00,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,0.89,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,0.85,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,1.00,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,0.92,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,0.85,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,1.00,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,0.98,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,0.79,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_SELF_HARM,1.00,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_SELF_HARM,0.95,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_SELF_HARM,0.78,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,1.00,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,0.94,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,0.59,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_VIOLENCE,1.00,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_VIOLENCE,0.90,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_VIOLENCE,0.47,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,1.00,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,0.97,
All,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,0.60,
