Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative ,Number of measures taken after detection with solely automated means ,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_NUDITY_SEXUAL_ACTIVITY,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_VIOLENCE,,"19,054","16,858",,"19,050",,,,,4,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_COORDINATED_HARM,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_HUMAN_EXPLOITATION,,"19,053","16,858",,"19,049",,,,,4,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_MURDER,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_KIDNAPPED_OR_MISSING_PERSON,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_PHYSICAL_ASSAULT,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_SEX_CRIME_SEXUAL_ASSAULT,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_GRAPHIC_VIOLENCE,Added category to record own initiative actions taken against our Community Standards on violent and graphic content ,1,0,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_THREATS_OF_VIOLENCE,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_OTHER_ILLEGAL,"Added category to capture instances where a definitive reason for actions against terms and conditions violating content or users was not logged. We consistently work to identify the source of issues that may result in logging errors and correct them as soon as possible.
","50,430","48,637",,"49,942",,,,,488,,,,,,,,,,,,,,,,,,,,,,,
