Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",TOTAL,,,,,293,,118,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10b,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10c,KEYWORD_RISK_PUBLIC_HEALTH,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",TOTAL,0,0,,0,3635,,31,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",TOTAL,238,2263,,6,41,,46,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,30,37,,0,1801,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",TOTAL,,,,,608,,147,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11b,KEYWORD_INAUTHENTIC_ACCOUNTS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11c,KEYWORD_INAUTHENTIC_LISTINGS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11d,KEYWORD_INAUTHENTIC_USER_REVIEWS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11e,KEYWORD_PHISHING,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11f,KEYWORD_PYRAMID_SCHEMES,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Extortion Blackmail, Financial Fraud and Financial Crime",TOTAL,30,37,,2,1193,,144,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,TOTAL,,,,,26,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12a,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12b,KEYWORD_SELF_MUTILATION,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12c,KEYWORD_SUICIDE,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,"Under this category, we consider member state orders for: Suicide Self Harm.",TOTAL,,,,,26,,64,,,,,,,
