Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",SE,,,,,1,,18,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",SI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",SK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,AT,0,0,,0,54,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,BE,3,65,,0,122,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,BG,0,0,,0,4,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,CY,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,CZ,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,DE,51,333,,0,1316,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,DK,7,93,,0,26,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,EE,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,ES,54,1370,,0,239,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,FI,6,6,,0,9,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,FR,35,268,,0,1847,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,GR,0,0,,0,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,HR,0,0,,0,5,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,HU,0,0,,0,6,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,IE,24,24,,0,11,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,IT,1,0,,0,142,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,LT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,LU,2,9,,0,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,LV,0,0,,0,3,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,MT,0,0,,0,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,NL,52,88,,0,88,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,PL,0,0,,0,20,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,PT,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,RO,2,5,,0,19,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,SE,1,1,,0,49,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,SI,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",AT,,,,,4,,109,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",BE,,,,,3,,25,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",BG,,,,,3,,28,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",CY,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",CZ,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",DE,,,,,142,,103,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",DK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",EE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",ES,,,,,7,,85,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",FI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",FR,,,,,48,,118,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",GR,,,,,1,,1127,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",HR,,,,,2,,35,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",HU,,,,,6,,63,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",IE,,,,,4,,527,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",IT,,,,,12,,180,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",LT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",LU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",LV,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",MT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",NL,,,,,1,,65,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",PL,,,,,13,,171,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",PT,,,,,1,,297,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",RO,,,,,16,,109,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",SE,,,,,31,,145,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",SI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider member state orders for: Fugitive & Illegal Organizations",SK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",AT,0,0,,0,50,,50,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",BE,0,0,,0,117,,67,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",BG,0,0,,0,1,,25,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",CY,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",CZ,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",DE,0,0,,0,1153,,35,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",DK,0,0,,0,25,,96,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",EE,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",ES,0,0,,0,232,,78,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",FI,0,0,,0,8,,122,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",FR,0,0,,0,1795,,26,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",GR,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",HR,0,0,,0,3,,126,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",HU,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",IE,0,0,,0,5,,359,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",IT,0,0,,0,130,,98,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",LT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",LU,0,0,,0,2,,73,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",LV,0,0,,0,3,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",MT,0,0,,0,2,,187,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",NL,0,0,,0,85,,39,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",PL,0,0,,0,5,,210,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",PT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",RO,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",SE,0,0,,0,18,,48,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",SI,0,0,,0,1,,151,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider member state orders for: National Security Terrorism & Terrorist Offences / Content",SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",AT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",BE,3,65,,6,2,,853,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",BG,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",CY,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",CZ,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",DE,51,333,,5,21,,45,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",DK,7,93,,1,1,,16,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",EE,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",ES,54,1370,,9,0,,95,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",FI,6,6,,0,1,,124,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",FR,35,268,,2,4,,63,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",GR,0,0,,0,1,,46,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",HR,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",HU,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",IE,24,24,,1,2,,71,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",IT,1,0,,3,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",LT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",LU,2,9,,1,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",LV,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",MT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",NL,52,88,,2,2,,28,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",PL,0,0,,0,2,,902,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",PT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",RO,2,5,,1,3,,25,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",SE,1,1,,1,0,,23,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",SI,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Adult, Road Traffic Offenses, National Security-Related Offences.",SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,AT,2,2,,0,63,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,BE,0,0,,0,42,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,BG,1,1,,0,33,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,CY,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,CZ,0,0,,0,5,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,DE,2,2,,0,759,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,DK,0,0,,0,8,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,EE,1,1,,0,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,ES,0,0,,0,201,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,FI,0,0,,0,14,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,FR,9,9,,0,291,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,GR,2,3,,0,27,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,HR,0,0,,0,3,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,HU,0,0,,0,8,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,IE,0,0,,0,4,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,IT,2,2,,0,112,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,LT,1,1,,0,3,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,LU,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,LV,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,MT,0,0,,0,6,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,NL,0,0,,0,43,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,PL,1,1,,0,50,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,PT,0,0,,0,10,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,RO,4,9,,0,63,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,SE,5,6,,0,53,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,SI,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",AT,,,,,4,,144,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",BE,,,,,5,,78,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",BG,,,,,3,,165,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"Under this category, we consider member state orders for: Faked Hacked Account.",CY,,,,,0,,0,,,,,,,
