Applicability,Service,Reporting period,Category label,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Tiktok,2026-01-01/2026-06-30,Category 14,STATEMENT_CATEGORY_VIOLENCE,,5064960,4879955,3620630,,,,,,1316834,,,,127496,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14a,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14b,KEYWORD_INCITEMENT_VIOLENCE_HATRED,"Under this category, we consider violations of the following policies: Safety and Civility - Violent and Criminal Behavior.",3215844,3228482,3037739,,,,,,51366,,,,126739,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14c,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14d,KEYWORD_HUMAN_TRAFFICKING,"Under this category, we consider violations of the following policies: Safety and Civility - Human Trafficking and Smuggling.",82749,79158,70811,,,,,,11912,,,,26,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14e,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14f,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Sensitive and Mature Themes - Shocking and Graphic Content, Violence&Horror&Dangerous activity.",1766367,1572315,512080,,,,,,1253556,,,,731,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,70378815,65461874,34211161,,,,,,35585379,,,,582275,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15a,KEYWORD_ADULT_SEXUAL_MATERIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15b,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15c,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15d,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15e,KEYWORD_LANGUAGE_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15f,KEYWORD_NUDITY,"Under this category, we consider violations of the following policies: Sensitive and Mature Themes - Body Exposure and Sexualized Behaviors.",16687944,16122326,7304358,,,,,,9077042,,,,306544,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15g,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Regulated Goods, Services, and Commercial Activities - Regulated Goods and Services, Regulated Goods, Services, and Commercial Activities - Commercial Disclosure and Paid Marketing, Ad Format, Adult & Sexual content, Politics&Religion&Culture, Prohibited&Restricted Content, Prohibited&Restricted Industry, Other Systemic Risks.",53690871,49339548,26906803,,,,,,26508337,,,,275731,,,,,,,,,,,,,,,,,,,
