Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the receipt of the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,PL,,,,,1,0,2,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_PHISHING,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,BE,3,62,0,144,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_PROHIBITED_PRODUCTS,,BE,3,62,0,144,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,
